id,rule_id,rule_name,severity,status,src_ip,dst_ip,protocol,sensor_id,details,created_at,fingerprint,count,last_seen
1,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.12,TCP,local-demo-sensor,Source contacted many destination ports in a short window.,2026-05-20T09:11:35Z,mock-1-10.10.30.23-192.168.56.12,4,2026-05-20T09:12:05Z
2,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.11,TCP,local-demo-sensor,Source contacted many destination ports in a short window.,2026-05-20T14:50:32Z,mock-1-10.10.30.23-192.168.56.11,6,2026-05-20T14:51:02Z
3,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.10,TCP,dmz-sensor,Source contacted many destination ports in a short window.,2026-05-20T16:54:15Z,mock-1-10.10.30.23-192.168.56.10,4,2026-05-20T16:54:45Z
4,1,Port Scan,high,acknowledged,10.10.30.42,192.168.56.12,TCP,edge-office-sensor,Source contacted many destination ports in a short window.,2026-05-20T21:02:49Z,mock-1-10.10.30.42-192.168.56.12,6,2026-05-20T21:03:19Z
5,2,SSH Brute Force,critical,resolved,10.10.40.18,192.168.56.20,TCP,local-demo-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-20T21:04:26Z,mock-2-10.10.40.18-192.168.56.20,5,2026-05-20T21:04:56Z
6,3,Blacklist IP,critical,open,203.0.113.66,192.168.56.10,TCP,local-demo-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-21T02:14:21Z,mock-3-203.0.113.66-192.168.56.10,1,
7,3,Blacklist IP,critical,open,203.0.113.66,192.168.56.12,TCP,dmz-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-21T04:06:34Z,mock-3-203.0.113.66-192.168.56.12,1,
8,2,SSH Brute Force,critical,resolved,10.10.40.44,192.168.56.12,TCP,edge-office-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-21T12:16:45Z,mock-2-10.10.40.44-192.168.56.12,2,2026-05-21T12:17:15Z
9,3,Blacklist IP,critical,open,203.0.113.66,192.168.56.30,TCP,edge-office-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-21T16:04:28Z,mock-3-203.0.113.66-192.168.56.30,1,
10,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.20,TCP,edge-office-sensor,Source contacted many destination ports in a short window.,2026-05-21T17:03:43Z,mock-1-10.10.30.23-192.168.56.20,5,2026-05-21T17:04:13Z
11,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.11,TCP,edge-office-sensor,Source contacted many destination ports in a short window.,2026-05-21T23:01:28Z,mock-1-10.10.30.23-192.168.56.11,6,2026-05-21T23:01:58Z
12,3,Blacklist IP,critical,open,198.51.100.23,192.168.56.11,TCP,local-demo-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-22T10:58:31Z,mock-3-198.51.100.23-192.168.56.11,1,
13,2,SSH Brute Force,critical,resolved,10.10.40.18,192.168.56.10,TCP,local-demo-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-22T13:26:51Z,mock-2-10.10.40.18-192.168.56.10,4,2026-05-22T13:27:21Z
14,2,SSH Brute Force,critical,resolved,10.10.40.44,192.168.56.11,TCP,edge-office-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-22T13:53:53Z,mock-2-10.10.40.44-192.168.56.11,6,2026-05-22T13:54:23Z
15,2,SSH Brute Force,critical,resolved,10.10.40.44,192.168.56.12,TCP,dmz-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-22T15:54:13Z,mock-2-10.10.40.44-192.168.56.12,2,2026-05-22T15:54:43Z
16,1,Port Scan,high,acknowledged,10.10.30.42,192.168.56.12,TCP,dmz-sensor,Source contacted many destination ports in a short window.,2026-05-22T23:34:07Z,mock-1-10.10.30.42-192.168.56.12,2,2026-05-22T23:34:37Z
17,2,SSH Brute Force,critical,resolved,10.10.40.44,192.168.56.11,TCP,edge-office-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-23T13:08:01Z,mock-2-10.10.40.44-192.168.56.11,2,2026-05-23T13:08:31Z
18,2,SSH Brute Force,critical,resolved,10.10.40.44,192.168.56.12,TCP,edge-office-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-23T13:53:43Z,mock-2-10.10.40.44-192.168.56.12,2,2026-05-23T13:54:13Z
19,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.30,TCP,local-demo-sensor,Source contacted many destination ports in a short window.,2026-05-23T19:04:54Z,mock-1-10.10.30.23-192.168.56.30,4,2026-05-23T19:05:24Z
20,1,Port Scan,high,acknowledged,10.10.30.77,192.168.56.10,TCP,edge-office-sensor,Source contacted many destination ports in a short window.,2026-05-23T19:21:00Z,mock-1-10.10.30.77-192.168.56.10,2,2026-05-23T19:21:30Z
21,2,SSH Brute Force,critical,resolved,10.10.40.44,192.168.56.30,TCP,local-demo-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-24T03:41:34Z,mock-2-10.10.40.44-192.168.56.30,6,2026-05-24T03:42:04Z
22,2,SSH Brute Force,critical,resolved,10.10.40.18,192.168.56.20,TCP,local-demo-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-24T07:44:21Z,mock-2-10.10.40.18-192.168.56.20,2,2026-05-24T07:44:51Z
23,2,SSH Brute Force,critical,resolved,10.10.40.91,192.168.56.11,TCP,dmz-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-24T09:14:16Z,mock-2-10.10.40.91-192.168.56.11,4,2026-05-24T09:14:46Z
24,3,Blacklist IP,critical,open,198.51.100.23,192.168.56.20,TCP,edge-office-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-24T17:01:50Z,mock-3-198.51.100.23-192.168.56.20,1,
25,3,Blacklist IP,critical,open,198.51.100.23,192.168.56.20,TCP,edge-office-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-25T07:43:06Z,mock-3-198.51.100.23-192.168.56.20,1,
26,3,Blacklist IP,critical,open,198.51.100.23,192.168.56.12,TCP,dmz-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-25T12:49:23Z,mock-3-198.51.100.23-192.168.56.12,1,
27,3,Blacklist IP,critical,open,203.0.113.66,192.168.56.20,TCP,edge-office-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-25T16:19:56Z,mock-3-203.0.113.66-192.168.56.20,1,
28,3,Blacklist IP,critical,open,198.51.100.23,192.168.56.20,TCP,local-demo-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-25T21:18:19Z,mock-3-198.51.100.23-192.168.56.20,1,
29,3,Blacklist IP,critical,open,198.51.100.23,192.168.56.10,TCP,edge-office-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-26T03:51:04Z,mock-3-198.51.100.23-192.168.56.10,1,
30,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.12,TCP,edge-office-sensor,Source contacted many destination ports in a short window.,2026-05-26T04:53:06Z,mock-1-10.10.30.23-192.168.56.12,2,2026-05-26T04:53:36Z
31,3,Blacklist IP,critical,open,203.0.113.66,192.168.56.10,TCP,edge-office-sensor,Traffic involved the configured blacklisted demo IP.,2026-05-26T06:05:50Z,mock-3-203.0.113.66-192.168.56.10,1,
32,2,SSH Brute Force,critical,resolved,10.10.40.44,192.168.56.11,TCP,local-demo-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-26T12:45:38Z,mock-2-10.10.40.44-192.168.56.11,2,2026-05-26T12:46:08Z
33,1,Port Scan,high,acknowledged,10.10.30.42,192.168.56.11,TCP,local-demo-sensor,Source contacted many destination ports in a short window.,2026-05-26T15:55:39Z,mock-1-10.10.30.42-192.168.56.11,5,2026-05-26T15:56:09Z
34,2,SSH Brute Force,critical,resolved,10.10.40.91,192.168.56.30,TCP,edge-office-sensor,Multiple SSH connection attempts exceeded the demo threshold.,2026-05-26T22:09:19Z,mock-2-10.10.40.91-192.168.56.30,2,2026-05-26T22:09:49Z
35,1,Port Scan,high,acknowledged,10.10.30.23,192.168.56.11,TCP,dmz-sensor,Source contacted many destination ports in a short window.,2026-05-26T22:58:32Z,mock-1-10.10.30.23-192.168.56.11,4,2026-05-26T22:59:02Z
