scenario,src_ip,dst_ip,description,expected_rule,severity,starts_at,ends_at,log_count
normal,10.10.20.11;10.10.20.12;10.10.20.13;10.10.20.14;10.10.20.15;10.10.21.21;10.10.21.22;10.10.22.31,192.168.56.10;192.168.56.11;192.168.56.12;192.168.56.20;192.168.56.30,Baseline business traffic generated between internal hosts and demo services.,,info,2026-05-20T08:00:00Z,2026-05-27T08:00:00Z,
port-scan,10.10.30.23,192.168.56.10,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-20T16:53:26Z,2026-05-20T16:54:15Z,8
ssh-bruteforce,10.10.40.91,192.168.56.30,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-26T22:08:44Z,2026-05-26T22:09:19Z,6
blacklist,198.51.100.23,192.168.56.30,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-27T03:28:04Z,2026-05-27T03:28:11Z,1
port-scan,10.10.30.77,192.168.56.10,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-23T19:20:25Z,2026-05-23T19:21:00Z,6
ssh-bruteforce,10.10.40.18,192.168.56.20,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-24T07:43:46Z,2026-05-24T07:44:21Z,6
blacklist,203.0.113.66,192.168.56.20,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-25T16:19:49Z,2026-05-25T16:19:56Z,1
port-scan,10.10.30.23,192.168.56.30,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-23T19:04:05Z,2026-05-23T19:04:54Z,8
ssh-bruteforce,10.10.40.44,192.168.56.11,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-26T12:45:03Z,2026-05-26T12:45:38Z,6
blacklist,198.51.100.23,192.168.56.20,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-25T07:42:59Z,2026-05-25T07:43:06Z,1
port-scan,10.10.30.42,192.168.56.11,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-26T15:54:43Z,2026-05-26T15:55:39Z,9
ssh-bruteforce,10.10.40.44,192.168.56.11,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-22T13:52:50Z,2026-05-22T13:53:53Z,10
blacklist,198.51.100.23,192.168.56.11,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-22T10:58:24Z,2026-05-22T10:58:31Z,1
port-scan,10.10.30.23,192.168.56.20,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-21T17:02:47Z,2026-05-21T17:03:43Z,9
ssh-bruteforce,10.10.40.18,192.168.56.10,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-22T13:26:02Z,2026-05-22T13:26:51Z,8
blacklist,198.51.100.23,192.168.56.12,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-25T12:49:16Z,2026-05-25T12:49:23Z,1
port-scan,10.10.30.23,192.168.56.11,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-26T22:57:43Z,2026-05-26T22:58:32Z,8
ssh-bruteforce,10.10.40.44,192.168.56.12,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-21T12:16:10Z,2026-05-21T12:16:45Z,6
blacklist,203.0.113.66,192.168.56.10,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-26T06:05:43Z,2026-05-26T06:05:50Z,1
port-scan,10.10.30.23,192.168.56.12,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-26T04:52:31Z,2026-05-26T04:53:06Z,6
ssh-bruteforce,10.10.40.44,192.168.56.12,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-23T13:53:08Z,2026-05-23T13:53:43Z,6
blacklist,203.0.113.66,192.168.56.10,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-21T02:14:14Z,2026-05-21T02:14:21Z,1
port-scan,10.10.30.23,192.168.56.11,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-20T14:49:29Z,2026-05-20T14:50:32Z,10
ssh-bruteforce,10.10.40.44,192.168.56.12,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-22T15:53:38Z,2026-05-22T15:54:13Z,6
blacklist,203.0.113.66,192.168.56.30,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-21T16:04:21Z,2026-05-21T16:04:28Z,1
port-scan,10.10.30.42,192.168.56.12,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-22T23:33:32Z,2026-05-22T23:34:07Z,6
ssh-bruteforce,10.10.40.91,192.168.56.11,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-24T09:13:27Z,2026-05-24T09:14:16Z,8
blacklist,198.51.100.23,192.168.56.20,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-24T17:01:43Z,2026-05-24T17:01:50Z,1
port-scan,10.10.30.23,192.168.56.12,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-20T09:10:46Z,2026-05-20T09:11:35Z,8
ssh-bruteforce,10.10.40.44,192.168.56.30,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-24T03:40:31Z,2026-05-24T03:41:34Z,10
blacklist,198.51.100.23,192.168.56.10,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-26T03:50:57Z,2026-05-26T03:51:04Z,1
port-scan,10.10.30.42,192.168.56.12,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-20T21:01:46Z,2026-05-20T21:02:49Z,10
ssh-bruteforce,10.10.40.18,192.168.56.20,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-20T21:03:30Z,2026-05-20T21:04:26Z,9
blacklist,203.0.113.66,192.168.56.12,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-21T04:06:27Z,2026-05-21T04:06:34Z,1
port-scan,10.10.30.23,192.168.56.11,One source probes multiple destination ports in a short time window.,Port Scan,high,2026-05-21T23:00:25Z,2026-05-21T23:01:28Z,10
ssh-bruteforce,10.10.40.44,192.168.56.11,One source repeatedly connects to SSH port 22 in a short time window.,SSH Brute Force,critical,2026-05-23T13:07:26Z,2026-05-23T13:08:01Z,6
blacklist,198.51.100.23,192.168.56.20,Traffic originates from an IP included in the demo blacklist.,Blacklist IP,critical,2026-05-25T21:18:12Z,2026-05-25T21:18:19Z,1
